"synonym"	"count"	"sample_product"
"Aminomethylphosphonic acid"	"148"	"(Ba2+ (Ba))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"
"(1-Aminomethyl)phosphonic acid"	"0"	""
"(Aminomethane)phosphonic acid"	"0"	""
"(Aminomethyl)phosphonate"	"0"	""
"(Aminomethyl)phosphonic acid"	"0"	""
"1066-51-9"	"0"	""
"1701219"	"0"	""
"1-Aminomethylphosphonic acid"	"0"	""
"Acide (aminométhyl)phosphonique"	"0"	""
"AMeP"	"0"	""
"Amino methane phosphoric acid"	"0"	""
"Aminomethanephosphonic acid"	"0"	""
"Aminomethyl phosphonic acid (AMPA)"	"0"	""
"aminomethylphosphonate"	"0"	""
"AMPA"	"0"	""
"azaniumylmethyl(hydroxy)phosphinate"	"0"	""
"MFCD00008105"	"0"	""
"Phosphonic acid, (aminomethyl)-"	"0"	""
"Phosphonic acid, (aminomethyl)- (8CI)(9CI)"	"0"	""
