"synonym"	"count"	"sample_product"
"DPA"	"130"	"(Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"
"Iminobis(methylene-2-pyridine)"	"22"	"(Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"
"Di-2-picolylamine"	"22"	"(Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"
"di-(2-pyridylmethyl)amine"	"0"	""
"dipicolyl-amine"	"0"	""
"bis[(pyridin-2-yl)methyl]amine"	"0"	""
"Bis-(pyridin-2-ylmethyl)amine"	"0"	""
"Bis-pyridin-2-ylmethyl-amine"	"0"	""
"Bis-2-picolylamine"	"0"	""
"di(2-pyridylmethyl)amine"	"0"	""
"N-(2-pyridylmethyl)pyridine-2-methylamine"	"0"	""
"n-(2-pyridinylmethyl)-2-pyridinemethanamine"	"0"	""
"Pyridine, 2,2′-(iminodimethylene)di-"	"0"	""
"Pyridine, 2,2'-(iminodimethylene)di-"	"0"	""
"Pyridinemethanamine, N-(pyridinylmethyl)-"	"0"	""
"N,N-bis(pyrid-2-ylmethyl)amine"	"0"	""
"N,N-bis(pyridylmethyl)amine"	"0"	""
"N,N-bis(pyridin-2-ylmethyl)amine"	"0"	""
"Di-(2-picolyl)amine"	"0"	""
"di-(2-picolyl)-amine"	"0"	""
"N,N-bis(2-picolyl)amine"	"0"	""
"Dipicolylamine"	"0"	""
"bis(pyridylmethyl)amine"	"0"	""
"bis(2-pyridylmethyl)amine"	"0"	""
"di(2-picolyl)amine"	"0"	""
"bis-(2-picolyl)amine"	"0"	""
"bis(picolyl)amine"	"0"	""
"bis(2-picolyl)amine"	"0"	""
"bis-(2-pyridylmethyl)amine"	"0"	""
"bis(pyridin-2-ylmethyl)amine"	"0"	""
"2,2'-Dipicolylamine"	"0"	""
"2,2-dipicolylamine"	"0"	""
"2,2'-Bis(pyridylmethyl)amine"	"0"	""
"2,2′-Dipicolylamine"	"0"	""
