"product"	"equation_full"	"logK"	"contributing_logK"	"sources"	"reference_consolidated"
"(Ba2+ (Ba))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ba2+ (Ba)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ba2+ (Ba))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1.17"	"1.17 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=18 metal=Ba2+ literature_ids=0"
"(Ba2+ (Ba))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"(Ba2+ (Ba))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + H+ = (Ba2+ (Ba))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"9.58"	"9.58 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=18 metal=Ba2+ literature_ids=0"
"(Ca2+ (Ca))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ca2+ (Ca)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Ca2+ (Ca))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1.66"	"1.66 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=25 metal=Ca2+ literature_ids=0"
"(Ca2+ (Ca))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Ca2+ (Ca))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Ca2+ (Ca))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"9.46"	"9.46 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=25 metal=Ca2+ literature_ids=0"
"(Cd2+ (Cd))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cd2+ (Cd)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Cd2+ (Cd))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"5.14"	"5.14 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=26 metal=Cd2+ literature_ids=0"
"(Cd2+ (Cd))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cd2+ (Cd))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Cd2+ (Cd))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"6.96"	"6.96 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=26 metal=Cd2+ literature_ids=0"
"(Co2+ (Co))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Co2+ (Co)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Co2+ (Co))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"4.52"	"4.52 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=33 metal=Co2+ literature_ids=0"
"(Co2+ (Co))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"1 (Co2+ (Co)) + 2 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Co2+ (Co))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2"	"8.09"	"8.09 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=33 metal=Co2+ literature_ids=0"
"(Co2+ (Co))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"1 (Co2+ (Co))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))2 + 1 H+ = (Co2+ (Co))(H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)))2"	"6.2"	"6.2 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=204 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=33 metal=Co2+ literature_ids=0"
"(Co2+ (Co))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Co2+ (Co))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) + 1 H+ = (Co2+ (Co))H(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"7.34"	"7.34 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=788 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=33 metal=Co2+ literature_ids=0"
"(Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cu2+ (Cu)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"7.77"	"7.77 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"1 (Cu2+ (Cu)) + 1 (Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1)) = (Cu2+ (Cu))(Aminomethylphosphonic acid (Gly-P) (C1H6N1O3P1))"	"8.1"	"8.1 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8332 ligand_name=Aminomethylphosphonic acid (Gly-P) metal_id=41 metal=Cu2+ literature_ids=0"
