"product"	"equation_full"	"logK"	"contributing_logK"	"sources"	"reference_consolidated"
"(Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Ag+ (Ag)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"5.46"	"5.46 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=2 metal=Ag+ literature_ids=0"
"(Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Ag+ (Ag)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Ag+ (Ag))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"8.16"	"8.16 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=2 metal=Ag+ literature_ids=0"
"(Cd2+ (Cd))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Cd2+ (Cd)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Cd2+ (Cd))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"6.4"	"6.4 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=26 metal=Cd2+ literature_ids=0"
"(Cd2+ (Cd))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Cd2+ (Cd)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Cd2+ (Cd))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"11.76"	"11.76 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=26 metal=Cd2+ literature_ids=0"
"(Co2+ (Co))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Co2+ (Co)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Co2+ (Co))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"8.05"	"8.05 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=33 metal=Co2+ literature_ids=0"
"(Co2+ (Co))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Co2+ (Co)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Co2+ (Co))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"13.85"	"13.85 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=33 metal=Co2+ literature_ids=0"
"(Cu2+ (Cu))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Cu2+ (Cu)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Cu2+ (Cu))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"13.85"	"13.85 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Cu2+ (Cu)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Cu2+ (Cu))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"18.5"	"18.5 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=41 metal=Cu2+ literature_ids=0"
"(Cu2+ (Cu))(OH)(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Cu2+ (Cu))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) + 1 OH- = (Cu2+ (Cu))(OH)(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"5.06"	"5.06 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=981 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=41 metal=Cu2+ literature_ids=0"
"(Fe2+ (Fe2))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Fe2+ (Fe2)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Fe2+ (Fe2))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"6.15"	"6.15 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=62 metal=Fe2+ literature_ids=0"
"(Fe2+ (Fe2))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Fe2+ (Fe2)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Fe2+ (Fe2))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"12.22"	"12.22 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=62 metal=Fe2+ literature_ids=0"
"(Hg2+ (Hg))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Hg2+ (Hg)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Hg2+ (Hg))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"22.25"	"22.25 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=71 metal=Hg2+ literature_ids=0"
"(Mn2+ (Mn))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Mn2+ (Mn)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Mn2+ (Mn))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"3.52"	"3.52 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=94 metal=Mn2+ literature_ids=0"
"(Mn2+ (Mn))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Mn2+ (Mn)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Mn2+ (Mn))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"6.05"	"6.05 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=94 metal=Mn2+ literature_ids=0"
"(Ni2+ (Ni))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"1 (Ni2+ (Ni)) + 1 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Ni2+ (Ni))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"9.3"	"9.3 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=112 metal=Ni2+ literature_ids=0"
"(Ni2+ (Ni))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Ni2+ (Ni)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Ni2+ (Ni))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"16.6"	"16.6 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=112 metal=Ni2+ literature_ids=0"
"(Pb2+ (Pb))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"(Pb2+ (Pb)) + (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Pb2+ (Pb))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))"	"6"	"6 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=812 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=125 metal=Pb2+ literature_ids=0"
"(Pb2+ (Pb))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"1 (Pb2+ (Pb)) + 2 (Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3)) = (Pb2+ (Pb))(Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) (C12H13N3))2"	"8.55"	"8.55 (NIST-SRD46-verkn_ligand_metal_sic)"	"NIST-SRD46-verkn_ligand_metal_sic"	"NIST SRD 46 raw SQL beta_definition_id=840 ligand_id=8174 ligand_name=Iminobis(methylene-2-pyridine) (Di-2-picolylamine)(DPA) metal_id=125 metal=Pb2+ literature_ids=0"
